



,result,table,_start,_stop,_time,_value,_field,_measurement,granularity,inventory-cluster-id,inventory-rack-id,plugin,url
,_result,0,2025-07-30T13:59:57.766245782Z,2025-07-30T14:09:57.766245782Z,2025-07-30T14:08:02Z,59767790,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node4.av.it.pt:8080/metrics
,_result,0,2025-07-30T13:59:57.766245782Z,2025-07-30T14:09:57.766245782Z,2025-07-30T14:09:02Z,59881175,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node4.av.it.pt:8080/metrics

,result,table,_start,_stop,_time,_value,_field,_measurement,granularity,inventory-cluster-id,inventory-rack-id,plugin,url
,_result,0,2025-07-30T13:59:58.533555811Z,2025-07-30T14:09:58.533555811Z,2025-07-30T14:01:02Z,61416093,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node4.av.it.pt:8080/metrics
,_result,0,2025-07-30T13:59:58.533555811Z,2025-07-30T14:09:58.533555811Z,2025-07-30T14:02:02Z,60712593,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node4.av.it.pt:8080/metrics
,_result,0,2025-07-30T13:59:58.533555811Z,2025-07-30T14:09:58.533555811Z,2025-07-30T14:03:02Z,62280085,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node4.av.it.pt:8080/metrics
,_result,0,2025-07-30T13:59:58.533555811Z,2025-07-30T14:09:58.533555811Z,2025-07-30T14:04:03Z,59840274,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node4.av.it.pt:8080/metrics
,_result,0,2025-07-30T13:59:58.533555811Z,2025-07-30T14:09:58.533555811Z,2025-07-30T14:05:02Z,61219216,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node4.av.it.pt:8080/metrics
,_result,0,2025-07-30T13:59:58.533555811Z,2025-07-30T14:09:58.533555811Z,2025-07-30T14:06:02Z,61638470,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node4.av.it.pt:8080/metrics
,_result,0,2025-07-30T13:59:58.533555811Z,2025-07-30T14:09:58.533555811Z,2025-07-30T14:07:02Z,62584787,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node4.av.it.pt:8080/metrics
,_result,0,2025-07-30T13:59:58.533555811Z,2025-07-30T14:09:58.533555811Z,2025-07-30T14:08:02Z,59767790,scaph_host_power_microwatts,energy_measurements,host+process,flux,r4,scaphandre,http://flux-node4.av.it.pt:8080/metrics
