_time,container_id,container_name,namespace,pod_name,kepler_container_joules_total,kepler_container_microwatts_consumption_total
2025-08-04 06:04:00+00:00,kernel_processes,kernel_processes,kernel,kernel_processes,146185091.967,76334149.99991655
2025-08-04 06:04:00+00:00,f5bc704a638f0e01b70128a6a9ee3f95e3d60c2ec447045cbb669e546a5cb2c8,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,2295270.24,1259500.000004967
2025-08-04 06:04:00+00:00,bf8d2de0afecbd04f0b8fe2087f2b1d9fdacfadc9cd38f13450bc0ad253ba271,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,18509.649,1045050.0000000222
2025-08-04 06:04:00+00:00,b827a5cf1aaa4c2f1c8c9d3fd3427ba744f1fd401194e5edb7978400d8b73104,install-cni,kube-flannel,kube-flannel-ds-mwgcj,0.0,0.0
2025-08-04 06:04:00+00:00,a54dd4d5f3802c39910f5785896517f9818524dd5c911d08486caeff90df530a,kepler-exporter,optimiter,kepler-gjk9b,1932488.43,1343649.9999991306
2025-08-04 06:04:00+00:00,a236b375f5058ee31c0a2964972fb9c64a7a7af6ee9850965628ac4ee251022e,install-multus-binary,kube-system,kube-multus-ds-b68jx,0.0,0.0
2025-08-04 06:04:00+00:00,8e2cd996cc6f0a355d71ff53be2df3cfce841b040ddd89dc94c14fd69bfdd3ae,ovs-cni-marker,cluster-network-addons,ovs-cni-amd64-8h9vl,2648.166,16950.00000000467
2025-08-04 06:04:00+00:00,system_processes,system_processes,system,system_processes,26873631.216,14878849.999979138
2025-08-04 06:04:00+00:00,77f43f3bb89ebcd89a09cf5227e295c3aa5d4457c4cfff77d773c3761dcb3da4,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,148864.173,7062450.00000005
2025-08-04 06:04:00+00:00,6aeec4f8472bcc9e89ba10060fe97e0b50b5e15654292dc406013645587cc869,etcd,kube-system,etcd-neuronet-m1,41932118.76,27692499.999950327
2025-08-04 06:04:00+00:00,578e371f509e34eda9fe51a513646d6127a7ccdb5082a241da9cd080a41d23ed,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,74416.389,0.0
2025-08-04 06:04:00+00:00,54214052d6488368b43da0b892d078b29cb5aa8432d1b4607c194cee104349d7,install-cni-plugin,kube-flannel,kube-flannel-ds-mwgcj,0.0,0.0
2025-08-04 06:04:00+00:00,52062c3ac390efee82962bbbfe0a794f98c46cba55d1c7a68994662bcbb6dffb,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,581954.82,341599.9999987738
2025-08-04 06:04:00+00:00,460fb9776671b6715c9b3d5ee5eaded3c71b4940b85eba21809bc67801d0b212,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,3677676.366,35394900.000002235
2025-08-04 06:04:00+00:00,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,kube-system,coredns-5dd5756b68-znnhh,1237690.365,682499.999999224
2025-08-04 06:04:00+00:00,1601231756754091e5b1012a3179398d3f9885565dc4578bd229b18c5b1c7eb7,ovs-cni-plugin,cluster-network-addons,ovs-cni-amd64-8h9vl,0.0,0.0
2025-08-04 06:04:00+00:00,14bc8c204d73135d6e65e27faaad06614517929ed9b27f0211afc8128c0d196e,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,8839.443,0.0
2025-08-04 06:04:00+00:00,6d6042ac2cb0281883a4d12b4fc3ec31fc76262313326d1d5bb4252207f6520a,kube-proxy,kube-system,kube-proxy-zk9zk,368648.28,315450.0000004191
2025-08-04 06:05:00+00:00,a236b375f5058ee31c0a2964972fb9c64a7a7af6ee9850965628ac4ee251022e,install-multus-binary,kube-system,kube-multus-ds-b68jx,0.0,0.0
